dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,evaluation_version
echonext,f_1000010_s42,Signal_Lead_V5,0.3453299513627194,0.6198201856659694,0.2571022558066751,0.0148271610259161,-1.375878057074557,1.4055323791263892,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_V6,0.3504468867310278,0.6624370162032102,0.2174020514436097,-0.0251370260866337,-1.468285731578387,1.4180116794051196,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_aVF,0.3717668950479936,0.4841762493503166,0.123909294623526,-0.0629025780856072,-1.4813943956304028,1.3555892394591884,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_aVL,0.4160606779298105,0.4339061777698851,0.0996022427964703,0.0774964458372121,-1.4099844705225162,1.5649773621969405,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_aVR,0.4278024064225294,0.7771074547916496,0.2889772066164885,-0.0608764501066122,-1.48595873735122,1.3642058371379953,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000011_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_III,0.3579669696101938,0.2496215048354723,0.0248008789738388,0.0292492508487839,-1.426974997510091,1.4854734992076586,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_V1,0.3677809822581133,0.2865333265913183,0.0595235607451143,0.0894366350257161,-1.434442394134039,1.6133156641854711,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_V3,0.3403485172227927,0.6615880720445202,0.3255829662185684,-0.0987014588462137,-1.3099332516312698,1.1125303339388422,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_V4,0.3219357667673604,0.6545875995226218,0.3120757747168542,0.0211439186525699,-1.2419029895182236,1.2841908268233635,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_V5,0.3212514525291068,0.671579350423897,0.3186740293998902,0.0039732318043675,-1.2974658599728863,1.3054123235816215,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_V6,0.3326315743953674,0.6703928401111018,0.2804701835328921,-0.0204188298937229,-1.3991314825733725,1.3582938227859265,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_aVF,0.3766966236673591,0.4817878551054979,0.1523228689899958,0.003452435839156,-1.3756987585855875,1.3826036302638998,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_aVL,0.3905803658425932,0.4740639600301519,0.1177567375817832,0.0429348480419376,-1.421102119525773,1.506971815609648,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000011_s42,Signal_Lead_aVR,0.3925958037500839,0.7899510879740352,0.3555511429071682,-0.0224391705832164,-1.383615190200279,1.3387368490338465,,,,,,,,,,,,,,,,,legacy_v1
